,data,open,high,low,close,Volume,name
173306,20170421,30000,30200,29650,29900,1723627,LG디스플레이
173307,20170424,29950,30200,29800,30200,1216111,LG디스플레이
173308,20170425,30050,31300,30050,31200,2953218,LG디스플레이
173309,20170426,31800,31950,31200,31400,3301326,LG디스플레이
173310,20170427,31250,31300,29750,29850,5097192,LG디스플레이
173311,20170428,29600,30100,29050,29400,4542778,LG디스플레이
173312,20170502,29650,30100,29600,29600,2612555,LG디스플레이
173313,20170504,29650,30200,29650,30000,1852356,LG디스플레이
173314,20170508,30050,30600,29950,30400,2394577,LG디스플레이
173315,20170510,30400,30550,29800,29900,3137615,LG디스플레이
173316,20170511,30100,30150,29550,29700,2602616,LG디스플레이
173317,20170512,29650,29900,28950,29050,3342190,LG디스플레이
173318,20170515,29100,29150,28250,28800,3080016,LG디스플레이
173319,20170516,29000,29050,28700,28800,2246799,LG디스플레이
173320,20170517,28900,29200,28800,29100,1879813,LG디스플레이
173321,20170518,28800,29600,28700,29500,2375616,LG디스플레이
173322,20170519,29450,29500,29150,29450,1374581,LG디스플레이
173323,20170522,29600,29650,29000,29250,1639936,LG디스플레이
173324,20170523,29350,29400,29000,29100,1654343,LG디스플레이
173325,20170524,29050,29350,28850,29100,1629821,LG디스플레이
173326,20170525,29100,29200,28750,28850,1989636,LG디스플레이
173327,20170526,29000,30150,28950,30050,5303654,LG디스플레이
173328,20170529,30400,30500,30000,30200,3120972,LG디스플레이
173329,20170530,30600,32200,30500,32050,7849718,LG디스플레이
173330,20170531,32300,32900,31700,32600,5248207,LG디스플레이
173331,20170601,32550,32800,32100,32600,2889440,LG디스플레이
173332,20170602,32900,33500,32500,33300,3319279,LG디스플레이
173333,20170605,33550,34300,32900,33950,3615345,LG디스플레이
173334,20170607,34350,35950,34200,35400,4874654,LG디스플레이
173335,20170608,36100,36800,35750,36500,5415691,LG디스플레이
173336,20170609,36750,36800,35650,36700,3813526,LG디스플레이
173337,20170612,36000,36400,34700,34900,5350754,LG디스플레이
173338,20170613,35000,37700,34950,37600,5879867,LG디스플레이
173339,20170614,38300,38300,37000,37250,4552109,LG디스플레이
173340,20170615,37400,38150,36450,38150,4225813,LG디스플레이
173341,20170616,37850,39100,37400,37400,3271611,LG디스플레이
173342,20170619,37400,38400,37000,37250,3004172,LG디스플레이
173343,20170620,37900,38150,36000,36900,4182102,LG디스플레이
173344,20170621,36250,36800,35700,36650,3019914,LG디스플레이
173345,20170622,37000,37250,36200,36400,2369949,LG디스플레이
173346,20170623,36500,36700,35400,36500,3188979,LG디스플레이
173347,20170626,36500,37250,36350,36700,2261229,LG디스플레이
173348,20170627,36950,38700,36850,38050,4724767,LG디스플레이
173349,20170628,37600,38650,37000,37250,3667717,LG디스플레이
173350,20170629,38000,38250,37350,37550,2353448,LG디스플레이
173351,20170630,36800,37700,36600,37100,2245097,LG디스플레이
173352,20170703,37300,37650,36250,36550,1745103,LG디스플레이
173353,20170704,36600,38650,36600,38500,4768875,LG디스플레이
173354,20170705,39050,39600,38350,38900,4931725,LG디스플레이
173355,20170706,39000,39000,37650,37800,3814964,LG디스플레이
173356,20170707,37300,37500,36300,36500,3450908,LG디스플레이
173357,20170710,36700,37100,35500,35700,3416475,LG디스플레이
173358,20170711,35950,37100,35500,37000,3045931,LG디스플레이
173359,20170712,37350,37650,36350,36350,2042203,LG디스플레이
173360,20170713,36900,37450,36650,36700,2486181,LG디스플레이
173361,20170714,36900,37000,35750,35950,3147816,LG디스플레이
173362,20170717,36200,36350,35550,36050,2348613,LG디스플레이
